country,Year,GDP,Population,Suicide
Antigua and Barbuda,1997,5.05,0.0853,1.49
Antigua and Barbuda,1998,4.45,0.0845,1.61
Antigua and Barbuda,1999,4.15,0.0834,1.64
Antigua and Barbuda,2000,1.5,0.0823,1.59
Antigua and Barbuda,2001,2.2,0.083,1.67
Antigua and Barbuda,2002,2.52,0.0835,1.7
Antigua and Barbuda,2003,5.22,0.0835,1.77
Antigua and Barbuda,2004,7.21,0.0833,1.82
Antigua and Barbuda,2005,4.64,0.0829,1.89
Antigua and Barbuda,2006,12.7,0.0831,1.9
Antigua and Barbuda,2007,7.01,0.0832,1.93
Antigua and Barbuda,2008,1.48,0.0832,1.98
Antigua and Barbuda,2009,-10.7,0.0831,2.02
Antigua and Barbuda,2010,-7.58,0.083,2.07
Antigua and Barbuda,2011,-1.98,0.0831,2.12
Antigua and Barbuda,2012,3.82,0.0832,2.04
Antigua and Barbuda,2013,1.46,0.083,2.03
Argentina,1990,-1.85,0.0862,3300
Argentina,1991,10.8,0.0878,3420
Argentina,1992,10,0.0898,3580
Argentina,1993,6.04,0.0919,3720
Argentina,1994,6.12,0.0934,3890
Argentina,1995,-2.7,0.094,4020
Argentina,1996,5.76,0.0937,4160
Argentina,1997,8.34,0.0925,4290
Argentina,1998,3.99,0.0908,4360
Argentina,1999,-3.38,0.0893,4440
Argentina,2000,-0.807,0.0883,4520
Argentina,2001,-4.52,0.0876,4600
Argentina,2002,-11.1,0.0872,4620
Argentina,2003,8.76,0.0872,4530
Argentina,2004,8.88,0.0871,4440
Argentina,2005,9.08,0.0871,4470
Argentina,2006,8.21,0.0871,4490
Argentina,2007,8.39,0.0871,4560
Argentina,2008,6.5,0.0872,4610
Argentina,2009,0.598,0.0871,4640
Argentina,2010,8.88,0.0867,4650
Argentina,2011,8.59,0.0859,4700
Argentina,2012,1.64,0.0847,4800
Argentina,2013,3.98,0.0833,4920
Armenia,1990,-3.82,0.0788,134
Armenia,1991,-14.1,0.0778,136
Armenia,1992,-41.8,0.0774,146
Armenia,1993,-6.86,0.0778,155
Armenia,1994,6.38,0.0787,158
Armenia,1995,6.67,0.0801,160
Armenia,1996,4.41,0.0827,158
Armenia,1997,2.23,0.0856,149
Armenia,1998,6.76,0.0886,143
Armenia,1999,2.74,0.0917,142
Armenia,2000,5.58,0.0949,135
Armenia,2001,9.77,0.0972,138
Armenia,2002,15.4,0.0994,142
Armenia,2003,14.3,0.101,146
Armenia,2004,11,0.102,162
Armenia,2005,14.4,0.102,181
Armenia,2006,13.2,0.0998,202
Armenia,2007,13.7,0.0971,206
Armenia,2008,6.86,0.0936,219
Armenia,2009,-14.8,0.0896,225
Armenia,2010,1.42,0.0853,232
Armenia,2011,3.94,0.0803,241
Armenia,2012,7.22,0.075,257
Armenia,2013,3.27,0.0699,255
Australia,1990,1.52,0.0818,2360
Australia,1991,0.184,0.0801,2380
Australia,1992,3.55,0.0775,2390
Australia,1993,3.84,0.0747,2380
Australia,1994,4.15,0.0722,2440
Australia,1995,4.11,0.0706,2500
Australia,1996,3.62,0.0691,2550
Australia,1997,4.4,0.0685,2630
Australia,1998,5.52,0.0685,2650
Australia,1999,4.06,0.0687,2610
Australia,2000,2.04,0.0687,2560
Australia,2001,3.91,0.0695,2520
Australia,2002,3.31,0.0698,2480
Australia,2003,4.33,0.0697,2450
Australia,2004,2.82,0.0693,2440
Australia,2005,3.7,0.0689,2430
Australia,2006,2.93,0.0699,2450
Australia,2007,4.86,0.0704,2510
Australia,2008,2.6,0.07,2560
Australia,2009,1.64,0.0689,2600
Australia,2010,3.14,0.0673,2630
Australia,2011,2.59,0.0667,2650
Australia,2012,3.19,0.066,2690
Australia,2013,2.47,0.065,2700
Austria,1990,3.78,0.0665,1960
Austria,1991,2.99,0.0642,1940
Austria,1992,1.88,0.0619,1920
Austria,1993,0.193,0.0599,1900
Austria,1994,2.87,0.0584,1880
Austria,1995,2.19,0.0576,1850
Austria,1996,2.77,0.0572,1810
Austria,1997,1.87,0.0576,1750
Austria,1998,3.54,0.0585,1710
Austria,1999,3.21,0.0593,1680
Austria,2000,3.38,0.0597,1660
Austria,2001,1.01,0.0604,1620
Austria,2002,1.25,0.0605,1600
Austria,2003,1.64,0.0601,1570
Austria,2004,2.83,0.0596,1540
Austria,2005,2.53,0.0595,1520
Austria,2006,3.65,0.0596,1500
Austria,2007,3.75,0.0601,1480
Austria,2008,1.39,0.0605,1470
Austria,2009,-3.77,0.0605,1470
Austria,2010,2.04,0.0599,1470
Austria,2011,2.53,0.0594,1470
Austria,2012,0.521,0.0582,1460
Austria,2013,0.277,0.0564,1450
Azerbaijan,1990,-2.01,0.0931,206
Azerbaijan,1991,-0.602,0.0911,209
Azerbaijan,1992,-22.5,0.089,224
Azerbaijan,1993,-22.8,0.0871,218
Azerbaijan,1994,-19.4,0.086,218
Azerbaijan,1995,-11.4,0.086,198
Azerbaijan,1996,1.84,0.0869,193
Azerbaijan,1997,6.35,0.0888,191
Azerbaijan,1998,10.6,0.0914,190
Azerbaijan,1999,8.04,0.0945,200
Azerbaijan,2000,11.8,0.0979,218
Azerbaijan,2001,10.7,0.101,245
Azerbaijan,2002,11.4,0.105,259
Azerbaijan,2003,12,0.107,291
Azerbaijan,2004,12.3,0.109,328
Azerbaijan,2005,25.2,0.11,362
Azerbaijan,2006,34.6,0.109,385
Azerbaijan,2007,25.1,0.108,412
Azerbaijan,2008,10.9,0.106,409
Azerbaijan,2009,9.35,0.103,398
Azerbaijan,2010,5.17,0.0989,400
Azerbaijan,2011,0.119,0.0945,399
Azerbaijan,2012,2.04,0.0894,409
Azerbaijan,2013,6.21,0.0842,412
Bahamas,1990,-1.65,0.105,6.64
Bahamas,1991,-4.23,0.103,6.88
Bahamas,1992,-3.89,0.0992,7.05
Bahamas,1993,0.218,0.0952,7.09
Bahamas,1994,2.99,0.0921,7.34
Bahamas,1995,4.13,0.0909,7.65
Bahamas,1996,3.89,0.0896,7.2
Bahamas,1997,4.54,0.0901,7.57
Bahamas,1998,6.39,0.0918,8.06
Bahamas,1999,3.69,0.0933,7.42
Bahamas,2000,1.72,0.0938,7.55
Bahamas,2001,0.757,0.0921,7.69
Bahamas,2002,2.34,0.0904,8.17
Bahamas,2003,1.14,0.0898,8.82
Bahamas,2004,1.48,0.0905,8.88
Bahamas,2005,2.69,0.0915,9.44
Bahamas,2006,2.77,0.0898,9.39
Bahamas,2007,1.72,0.0882,10
Bahamas,2008,-2.05,0.0876,10.7
Bahamas,2009,-4.62,0.0881,11.1
Bahamas,2010,0.396,0.0891,11.3
Bahamas,2011,1.77,0.0898,11.9
Bahamas,2012,1.9,0.0898,12.2
Bahamas,2013,1.89,0.0892,12.4
Bahrain,1990,-0.0801,0.0755,34.6
Bahrain,1991,4.45,0.0781,36.9
Bahrain,1992,7.59,0.0791,39.3
Bahrain,1993,7.98,0.0782,41.5
Bahrain,1994,-0.456,0.076,44.4
Bahrain,1995,3.89,0.0737,46.5
Bahrain,1996,4.62,0.0776,47.6
Bahrain,1997,4.12,0.0808,48
Bahrain,1998,5.83,0.082,48.9
Bahrain,1999,4.92,0.0808,53
Bahrain,2000,5.16,0.078,56.3
Bahrain,2001,3.49,0.0832,60.8
Bahrain,2002,3.34,0.0848,64.8
Bahrain,2003,6.32,0.0828,68.3
Bahrain,2004,7.89,0.0785,72.4
Bahrain,2005,14.5,0.0735,75.5
Bahrain,2006,17.1,0.0742,80.6
Bahrain,2007,21.2,0.0724,85.3
Bahrain,2008,18.5,0.0685,87.9
Bahrain,2009,-14,0.0633,89.3
Bahrain,2010,6.11,0.0578,89.3
Bahrain,2011,4.99,0.0591,88.3
Bahrain,2012,4.13,0.0597,90.7
Bahrain,2013,4.16,0.059,89.6
Bangladesh,1990,7.22,0.109,12500
Bangladesh,1991,3.88,0.109,12600
Bangladesh,1992,5.76,0.109,13200
Bangladesh,1993,5.26,0.11,13700
Bangladesh,1994,4.65,0.11,13800
Bangladesh,1995,5.42,0.11,14300
Bangladesh,1996,5.03,0.111,14100
Bangladesh,1997,5.68,0.111,13600
Bangladesh,1998,5.39,0.111,13400
Bangladesh,1999,4.92,0.111,13100
Bangladesh,2000,5.89,0.111,12800
Bangladesh,2001,5.12,0.11,12600
Bangladesh,2002,4.15,0.11,12400
Bangladesh,2003,4.86,0.109,11900
Bangladesh,2004,5.84,0.108,12000
Bangladesh,2005,5.28,0.108,12100
Bangladesh,2006,6.53,0.106,12200
Bangladesh,2007,6.3,0.105,12100
Bangladesh,2008,5.96,0.104,12000
Bangladesh,2009,5.91,0.104,12000
Bangladesh,2010,6.4,0.103,12200
Bangladesh,2011,6.66,0.102,11900
Bangladesh,2012,6.21,0.102,12000
Bangladesh,2013,6.04,0.101,11800
Barbados,1990,-3.61,0.0969,11.6
Barbados,1991,-4.42,0.093,12.4
Barbados,1992,-7.47,0.0882,12.7
Barbados,1993,0.584,0.0833,12.9
Barbados,1994,3.85,0.0792,12.7
Barbados,1995,2.44,0.0764,13.2
Barbados,1996,2.98,0.0747,13.2
Barbados,1997,4.42,0.0742,13.2
Barbados,1998,6.1,0.0743,13.2
Barbados,1999,0.366,0.0745,13.3
Barbados,2000,2.13,0.0744,13
Barbados,2001,-2.75,0.0741,13.4
Barbados,2002,0.306,0.0732,13.6
Barbados,2003,1.83,0.072,14
Barbados,2004,3.52,0.0708,14.3
Barbados,2005,3.94,0.0698,14.2
Barbados,2006,5.69,0.0689,14.4
Barbados,2007,1.61,0.0685,14.4
Barbados,2008,0.335,0.0683,14.7
Barbados,2009,-4.13,0.0681,14.9
Barbados,2010,0.198,0.0677,15.1
Barbados,2011,0.529,0.0676,15.1
Barbados,2012,-0.0198,0.0673,15.2
Barbados,2013,-0.727,0.0669,15.1
Belarus,1990,-1.64,0.0712,2470
Belarus,1991,-1.45,0.0714,2630
Belarus,1992,-10,0.0714,2880
Belarus,1993,-8.06,0.0715,3220
Belarus,1994,-12,0.0719,3440
Belarus,1995,-10.7,0.0729,3660
Belarus,1996,2.45,0.074,3770
Belarus,1997,11,0.0755,3970
Belarus,1998,8,0.0771,4120
Belarus,1999,3.01,0.0787,4190
Belarus,2000,5.44,0.0801,4160
Belarus,2001,4.37,0.0809,4190
Belarus,2002,4.66,0.0815,4240
Belarus,2003,6.45,0.0817,4160
Belarus,2004,11,0.0812,4080
Belarus,2005,8.88,0.0798,4030
Belarus,2006,9.87,0.0779,3850
Belarus,2007,8.38,0.0749,3640
Belarus,2008,11.7,0.0712,3590
Belarus,2009,-0.152,0.0674,3550
Belarus,2010,7.5,0.0638,3450
Belarus,2011,5.68,0.06,3360
Belarus,2012,1.56,0.0564,3010
Belarus,2013,0.601,0.0533,2790
Belgium,1990,2.98,0.0664,2250
Belgium,1991,1.75,0.065,2260
Belgium,1992,1.4,0.0636,2300
Belgium,1993,-1.08,0.0621,2360
Belgium,1994,3.11,0.0609,2380
Belgium,1995,2.28,0.0599,2390
Belgium,1996,1.11,0.0594,2380
Belgium,1997,3.28,0.0592,2400
Belgium,1998,1.86,0.0592,2380
Belgium,1999,3.44,0.0593,2360
Belgium,2000,3.75,0.0593,2400
Belgium,2001,0.859,0.0597,2380
Belgium,2002,1.73,0.0599,2350
Belgium,2003,1.3,0.0598,2320
Belgium,2004,3.35,0.0596,2260
Belgium,2005,2.07,0.0594,2250
Belgium,2006,2.62,0.0597,2240
Belgium,2007,2.79,0.0601,2260
Belgium,2008,0.809,0.0603,2290
Belgium,2009,-3.02,0.0603,2310
Belgium,2010,2.09,0.0599,2310
Belgium,2011,0.69,0.0595,2330
Belgium,2012,-0.674,0.0588,2310
Belgium,2013,-0.0943,0.0578,2270
Belize,1990,10.3,0.112,7.19
Belize,1991,12,0.109,7.68
Belize,1992,12.4,0.107,8.06
Belize,1993,6.21,0.106,8.41
Belize,1994,0.347,0.106,8.95
Belize,1995,0.584,0.107,9.95
Belize,1996,1.96,0.109,10.4
Belize,1997,2.65,0.111,11.4
Belize,1998,2.6,0.112,13.1
Belize,1999,9.07,0.111,14.6
Belize,2000,11.9,0.11,15.2
Belize,2001,4.36,0.11,16.5
Belize,2002,4.37,0.108,16.3
Belize,2003,8.4,0.107,16.7
Belize,2004,3.64,0.106,17.4
Belize,2005,2.07,0.106,17.8
Belize,2006,4.48,0.106,18.2
Belize,2007,-1.41,0.106,18.8
Belize,2008,3.5,0.107,19.8
Belize,2009,0.495,0.107,20.3
Belize,2010,3.27,0.107,20.8
Belize,2011,2.27,0.108,21.9
Belize,2012,4.37,0.108,22.1
Belize,2013,1.84,0.108,22.6
Benin,1990,3.79,0.103,299
Benin,1991,4.81,0.103,319
Benin,1992,4.37,0.103,335
Benin,1993,2.41,0.104,350
Benin,1994,2.63,0.104,375
Benin,1995,3.97,0.104,401
Benin,1996,5.25,0.104,427
Benin,1997,5.49,0.104,441
Benin,1998,4.36,0.104,452
Benin,1999,4.56,0.105,473
Benin,2000,5.79,0.105,498
Benin,2001,5.15,0.105,517
Benin,2002,6.29,0.105,538
Benin,2003,4.26,0.106,549
Benin,2004,3.48,0.106,567
Benin,2005,3.25,0.106,585
Benin,2006,3.75,0.106,606
Benin,2007,4.63,0.107,625
Benin,2008,5.02,0.107,648
Benin,2009,2.66,0.107,672
Benin,2010,2.55,0.107,698
Benin,2011,3.53,0.107,717
Benin,2012,5.39,0.107,745
Benin,2013,5.68,0.107,769
Bhutan,1990,11.4,0.105,36
Bhutan,1991,0.77,0.104,35.4
Bhutan,1992,3.73,0.104,34.4
Bhutan,1993,2.08,0.104,34.5
Bhutan,1994,5.94,0.104,33.6
Bhutan,1995,6.8,0.105,32.8
Bhutan,1996,6.4,0.106,31.7
Bhutan,1997,5.83,0.108,32.5
Bhutan,1998,6.1,0.109,33.1
Bhutan,1999,7.94,0.111,33
Bhutan,2000,7.72,0.113,34.6
Bhutan,2001,7.3,0.115,35.5
Bhutan,2002,10.2,0.117,36.6
Bhutan,2003,7.79,0.118,38.5
Bhutan,2004,7.09,0.119,39.9
Bhutan,2005,6.91,0.12,41.9
Bhutan,2006,6.85,0.119,42.8
Bhutan,2007,17.9,0.119,43.9
Bhutan,2008,4.67,0.118,44.7
Bhutan,2009,6.73,0.117,43.9
Bhutan,2010,11.7,0.116,44.8
Bhutan,2011,8.51,0.114,45.7
Bhutan,2012,7.51,0.111,46.6
Bhutan,2013,6.4,0.109,47.7
Bolivia,1990,5.13,0.103,446
Bolivia,1991,5.33,0.103,458
Bolivia,1992,1.65,0.103,473
Bolivia,1993,4.2,0.103,490
Bolivia,1994,4.85,0.103,504
Bolivia,1995,4.77,0.103,523
Bolivia,1996,4.48,0.103,532
Bolivia,1997,5.09,0.103,545
Bolivia,1998,5.32,0.102,557
Bolivia,1999,0.549,0.102,564
Bolivia,2000,2.59,0.102,568
Bolivia,2001,1.9,0.102,570
Bolivia,2002,2.7,0.102,578
Bolivia,2003,3.08,0.102,580
Bolivia,2004,4.2,0.102,586
Bolivia,2005,4.4,0.102,585
Bolivia,2006,4.42,0.102,594
Bolivia,2007,4.16,0.102,605
Bolivia,2008,5.73,0.102,616
Bolivia,2009,2.97,0.102,628
Bolivia,2010,3.77,0.102,641
Bolivia,2011,4.81,0.102,649
Bolivia,2012,4.85,0.101,658
Bolivia,2013,6.46,0.101,667
Bosnia and Herzegovina,1990,-8.89,0.0853,558
Bosnia and Herzegovina,1991,-15.2,0.0833,553
Bosnia and Herzegovina,1992,-28.7,0.0812,547
Bosnia and Herzegovina,1993,-30.4,0.0789,539
Bosnia and Herzegovina,1994,1.03,0.0769,528
Bosnia and Herzegovina,1995,4.11,0.0752,515
Bosnia and Herzegovina,1996,57.2,0.0747,494
Bosnia and Herzegovina,1997,39.1,0.0744,471
Bosnia and Herzegovina,1998,13.9,0.0744,453
Bosnia and Herzegovina,1999,9.27,0.0747,435
Bosnia and Herzegovina,2000,6.04,0.0751,412
Bosnia and Herzegovina,2001,4.09,0.0753,389
Bosnia and Herzegovina,2002,3.1,0.0758,367
Bosnia and Herzegovina,2003,1.49,0.0763,350
Bosnia and Herzegovina,2004,3.56,0.0764,338
Bosnia and Herzegovina,2005,2.98,0.0758,328
Bosnia and Herzegovina,2006,5.96,0.0748,321
Bosnia and Herzegovina,2007,6.13,0.0731,315
Bosnia and Herzegovina,2008,5.59,0.0711,308
Bosnia and Herzegovina,2009,-2.91,0.0693,304
Bosnia and Herzegovina,2010,0.706,0.0679,300
Bosnia and Herzegovina,2011,1.23,0.0658,291
Bosnia and Herzegovina,2012,-1.26,0.0652,314
Bosnia and Herzegovina,2013,1.13,0.0661,333
Botswana,1990,5.88,0.114,148
Botswana,1991,4.76,0.115,155
Botswana,1992,2.77,0.116,165
Botswana,1993,1.6,0.116,176
Botswana,1994,3.17,0.117,191
Botswana,1995,4.26,0.117,210
Botswana,1996,5.61,0.118,228
Botswana,1997,6.78,0.119,248
Botswana,1998,6.17,0.12,268
Botswana,1999,6.75,0.121,285
Botswana,2000,9.19,0.121,304
Botswana,2001,5.88,0.12,315
Botswana,2002,5.75,0.118,330
Botswana,2003,4.78,0.116,331
Botswana,2004,4.15,0.115,329
Botswana,2005,4.15,0.113,322
Botswana,2006,5.69,0.111,317
Botswana,2007,4.92,0.11,315
Botswana,2008,3.2,0.109,319
Botswana,2009,-4.58,0.107,319
Botswana,2010,7.11,0.105,320
Botswana,2011,5.09,0.103,321
Botswana,2012,4.1,0.101,326
Botswana,2013,3.79,0.0984,330
Brazil,1990,-6.46,0.0995,8920
Brazil,1991,1.11,0.0995,9090
Brazil,1992,-0.511,0.0998,9280
Brazil,1993,5.03,0.1,9420
Brazil,1994,5.99,0.101,9630
Brazil,1995,4.37,0.102,9780
Brazil,1996,2.82,0.102,9870
Brazil,1997,3.46,0.103,10100
Brazil,1998,0.28,0.103,10300
Brazil,1999,0.954,0.103,10400
Brazil,2000,4.52,0.103,10600
Brazil,2001,0.984,0.101,10800
Brazil,2002,2.74,0.0999,11000
Brazil,2003,1.05,0.098,11200
Brazil,2004,5.62,0.096,11500
Brazil,2005,2.76,0.0943,11800
Brazil,2006,3.96,0.0927,12000
Brazil,2007,6.09,0.0912,12100
Brazil,2008,5.17,0.0899,12300
Brazil,2009,-0.33,0.0888,12500
Brazil,2010,7.53,0.0878,12700
Brazil,2011,2.73,0.0871,12900
Brazil,2012,1.09,0.0865,13200
Brazil,2013,2.24,0.086,13300
Brunei,1990,2.73,0.0909,10.3
Brunei,1991,4.04,0.0921,10.7
Brunei,1992,-1.09,0.0928,11
Brunei,1993,0.526,0.0929,11.2
Brunei,1994,1.82,0.0922,11.5
Brunei,1995,3.06,0.0909,11.4
Brunei,1996,3.58,0.0914,11.6
Brunei,1997,4.09,0.091,11.7
Brunei,1998,-0.568,0.0895,12.2
Brunei,1999,3.01,0.0874,12.3
Brunei,2000,2.76,0.0855,12.7
Brunei,2001,2.6,0.0883,12.7
Brunei,2002,3.68,0.0904,12.8
Brunei,2003,2.68,0.0908,13.1
Brunei,2004,0.292,0.0894,13.6
Brunei,2005,0.184,0.0872,14.5
Brunei,2006,4.71,0.0894,15.4
Brunei,2007,0.582,0.0914,16.3
Brunei,2008,-1.41,0.0922,16.7
Brunei,2009,-1.28,0.0915,16.6
Brunei,2010,2.64,0.0901,16.9
Brunei,2011,2.44,0.0883,17.3
Brunei,2012,1.03,0.0873,18
Brunei,2013,-1.11,0.0867,18.9
Bulgaria,1990,-10.6,0.0727,1600
Bulgaria,1991,-7.93,0.073,1630
Bulgaria,1992,-7.07,0.0734,1690
Bulgaria,1993,-0.149,0.0737,1710
Bulgaria,1994,1.67,0.0738,1760
Bulgaria,1995,2.96,0.0735,1770
Bulgaria,1996,-9.27,0.0729,1780
Bulgaria,1997,-5.35,0.0716,1780
Bulgaria,1998,4.36,0.0701,1740
Bulgaria,1999,2.51,0.0687,1650
Bulgaria,2000,5.6,0.0677,1610
Bulgaria,2001,4.41,0.067,1540
Bulgaria,2002,5.21,0.0669,1480
Bulgaria,2003,4.61,0.0671,1400
Bulgaria,2004,6.9,0.067,1350
Bulgaria,2005,6.55,0.0662,1300
Bulgaria,2006,6.37,0.0645,1270
Bulgaria,2007,6.31,0.0622,1230
Bulgaria,2008,5.98,0.0595,1200
Bulgaria,2009,-5.55,0.0566,1160
Bulgaria,2010,0.531,0.0538,1120
Bulgaria,2011,3.64,0.051,1080
Bulgaria,2012,0.554,0.0483,1060
Bulgaria,2013,0.806,0.0457,1040
Burkina Faso,1990,-1.44,0.106,594
Burkina Faso,1991,9.51,0.107,593
Burkina Faso,1992,2.07,0.107,604
Burkina Faso,1993,-1.17,0.108,617
Burkina Faso,1994,0.847,0.109,627
Burkina Faso,1995,4.08,0.11,639
Burkina Faso,1996,7.35,0.111,647
Burkina Faso,1997,4.71,0.111,666
Burkina Faso,1998,6.34,0.111,688
Burkina Faso,1999,6.1,0.112,696
Burkina Faso,2000,2.04,0.112,715
Burkina Faso,2001,5.81,0.111,715
Burkina Faso,2002,3.67,0.111,724
Burkina Faso,2003,7.17,0.11,737
Burkina Faso,2004,4.5,0.11,752
Burkina Faso,2005,7.01,0.11,772
Burkina Faso,2006,6.25,0.109,800
Burkina Faso,2007,4.1,0.108,821
Burkina Faso,2008,5.81,0.108,841
Burkina Faso,2009,2.96,0.108,865
Burkina Faso,2010,7.88,0.108,906
Burkina Faso,2011,4.16,0.108,921
Burkina Faso,2012,8.89,0.108,992
Burkina Faso,2013,8.06,0.108,1040
Burundi,1990,3.63,0.0941,597
Burundi,1991,4.79,0.0939,611
Burundi,1992,-0.396,0.095,625
Burundi,1993,-1.32,0.0973,641
Burundi,1994,-3.19,0.1,663
Burundi,1995,-12.3,0.104,681
Burundi,1996,-7.94,0.106,686
Burundi,1997,0.73,0.108,674
Burundi,1998,2.98,0.111,661
Burundi,1999,-2.93,0.115,642
Burundi,2000,-1.15,0.119,636
Burundi,2001,1.22,0.122,632
Burundi,2002,3.78,0.124,636
Burundi,2003,-1.69,0.127,645
Burundi,2004,4.05,0.128,661
Burundi,2005,0.224,0.129,684
Burundi,2006,6.5,0.128,679
Burundi,2007,5.94,0.127,696
Burundi,2008,5.72,0.125,701
Burundi,2009,3.94,0.122,695
Burundi,2010,3.98,0.119,713
Burundi,2011,4.08,0.116,734
Burundi,2012,3.64,0.112,751
Burundi,2013,3.91,0.109,767
Cambodia,1990,0.542,0.0999,474
Cambodia,1991,9.74,0.0947,486
Cambodia,1992,7.4,0.0871,502
Cambodia,1993,-5.39,0.0798,522
Cambodia,1994,8.49,0.076,545
Cambodia,1995,9.52,0.0773,572
Cambodia,1996,-3.21,0.082,585
Cambodia,1997,7.29,0.0928,603
Cambodia,1998,2.18,0.108,627
Cambodia,1999,13,0.123,648
Cambodia,2000,7.05,0.134,673
Cambodia,2001,8.33,0.138,696
Cambodia,2002,10.5,0.137,718
Cambodia,2003,8.15,0.131,738
Cambodia,2004,9.01,0.125,753
Cambodia,2005,12.5,0.12,763
Cambodia,2006,9.43,0.116,769
Cambodia,2007,10.2,0.114,779
Cambodia,2008,6.12,0.115,791
Cambodia,2009,-0.452,0.117,809
Cambodia,2010,6.25,0.117,825
Cambodia,2011,7.27,0.116,840
Cambodia,2012,7.51,0.113,855
Cambodia,2013,7.26,0.109,869
Cameroon,1990,-1.69,0.103,796
Cameroon,1991,-3.85,0.103,842
Cameroon,1992,-3.13,0.104,894
Cameroon,1993,-3.23,0.104,941
Cameroon,1994,-2.54,0.105,989
Cameroon,1995,3.28,0.106,1040
Cameroon,1996,4.93,0.107,1100
Cameroon,1997,5.01,0.109,1180
Cameroon,1998,4.9,0.11,1250
Cameroon,1999,4.34,0.111,1300
Cameroon,2000,4.21,0.112,1370
Cameroon,2001,5.35,0.113,1410
Cameroon,2002,6.53,0.113,1440
Cameroon,2003,4.05,0.114,1480
Cameroon,2004,3.82,0.114,1530
